age,gender,condition,rating,review_long,review_short
[' 65-74 |  '],[' Male |  '],[' Condition: Joint Damage causing Pain and Loss of Function '],[' Overall rating 2.3 '],[],"[""I have mild rheumatoid arthritis which has been well controlled with methotrexate. I was taken off methotrexate to check my liver enzymes and quickly flared up. Tylenol has been totally ineffective. Celebrex helps some but not for long. I'm back on methotrexate and still not back in control, but somewhat better""]"
[' 55-64 |  '],[' Female |  '],[' Condition: Head Pain '],[' Overall rating 5.0 '],[],"['Besides relieving my pain, I FEEL better .. emotionally and mentally. Due to heart condition, this is the only pain reliever my heart doctor recommends. It works great when I take two extra strength. I was told by a medical professional not to exceed 14-16 in a month. Both Ibuprofen and Aspirin interact with my heart meds and specifically I feel a weird heartbeat with ibuprofen.']"
[' 75 or over |  '],[' Female |  '],[' Condition: Pain '],[' Overall rating 5.0 '],[],"[""I took Tylenol Extra Strength Caplets every 6 hours for pain immediately following hand surgery. It worked very well for the pain. But it would not allow me to sleep. I had to make sure I was 6-8 hours without Tylenol at night in order to be able to close my eyes.  It worked like caffeine on me 2 nights in a row following surgery.  Everyone tells me that's crazy.  I'm 77, weigh 180. I don't take meds.\n""]"
[' 13-18 |  '],[' Female |  '],[' Condition: Painful Periods '],[' Overall rating 5.0 '],[],"['I love this drug. I use it and within 15 minutes to an hour I feel much better. I take it as soon as I feel cramping and continue to use it at the recommended intervals for 24-48 hours depending on the time, then take one if the cramping comes back. I love this product and also use it for pain in my joints or limbs for injuries or growth pains. I highly recommend it.']"
[' 13-18 |  '],[' Male |  '],[' Condition: Head Pain '],[' Overall rating 5.0 '],[],"['I accidentally took almost 6000 mg of this in one dose, and must say it is very effective as a drug.  My headache is completely gone and so are almost all my other issues ']"
[' 35-44 |  '],['  '],[' Condition: Head Pain '],[' Overall rating 4.0 '],[],['This is my go to medicine for headaches.']
[' 13-18 |  '],[' Female |  '],[' Condition: Painful Periods '],[' Overall rating 3.7 '],[],"['I usually take it whenever I am feeling extremely bad. Usually, it works for a short time, and then stops. It makes the pain bearable, but it doesn’t really help with the pain. I even have the extra strength, and it does nothing. ']"
[' 65-74 |  '],[' Male |  '],[' Condition: Pain associated with Arthritis '],[' Overall rating 3.0 '],[],"[""I take 1000 mgs at bedtime and have developed muscle cramps in the ankles and calves. If I don't take it no cramps.Thought it would help me sleep.""]"
[' 55-64 |  '],[' Female |  '],[' Condition: Backache '],[' Overall rating 3.3 '],[],"['Tylenol doesn\'t help much, but unexpectedly BENEDRYL and allergy meds (chlorpheniramine maleate + phenylephrine HCL, for ex.) help greatly to reduce my lower back pain! I have tight glut, piriformis & hamstring muscles on left side. NSAIDS have never helped. ""Allergy"" meds seem to calm the involved nerves. Happy to have discovered this & wanted to share. I take just 1/2 caplet at bedtime, and if needed same mid-day, and I keep on moving! ']"
[' 65-74 |  '],[' Male |  '],[' Condition: Other '],[' Overall rating 4.3 '],[],"['Acetaminophen works for my back, neck, shoulder and muscle pains better then other over the counter drugs.   ']"
[' 35-44 |  '],['  '],[' Condition: Pain '],[' Overall rating 1.0 '],[],['Cause me to have stomach problems.  And my doctor prescribes me oxycodone with this in it.  I hate the added pain to relieve pain in other areas of my body.  Feels like I need to throw up constantly. ']
