age,gender,condition,rating,review_long,review_short
[' Female |  '],[' Patient  '],[' Condition: Shingles '],[' Overall rating 1.0 '],"['I developed a small patch of shingles over my right eye. I went to my doctor and was prescribed Acyclovir at 800mg 3 times a day. I took the meds for only one day. I woke up the next morning with my eye swelled shut. I immediately returned to my doctor. He suggested the shingles was causing my swollen eye. He said the shingles must be moving faster. He double my dosage from 800mg 3 times a day to 1600mg 3 times a day. \nI took that dosage for 2 days. The night of the second day I realized I was h', 'aving problems forming thoughts. It progress until my mind couldn’t form a thought. I began to lose my speech. I became panicked to the point of almost hysterical. I began crying, my husband became afraid. I kept trying to speak but I couldn’t! Could not form a thought except panic. All this happened in less than an hour. I was rushed to the ER. They immediately assumed a stroke. My speech soon slowly returned as the medication was wearing off. All the test for stroke came back negative. ER doctor was frustrated and finally said it may be the medication but doubted it. I was given an IV to flush the medication from my symptom. In about an hour all my symptoms were completely gone. I was told to stop the medication immediately. The doctors refused to admit it was the Acyclovir that caused my lose of speech and ability to form thoughts. I’m writing this because this is a very rare side effect that’s hidden from patients, but it can happen. I have never been so terrified in my life! Acyclovir is now listed on my allergic to list at my doctors office. ']",[]
[' Female |  '],[' Patient  '],[' Condition: Prevent Shingles in Patients Without a Normal Immune System '],[' Overall rating 2.3 '],[],"['I got Shingles and my doctor put me on Acyclovir-oral. After the second pill I broke out in a rash. Then he tried another medicine from the same family and again I broke out again. So I wanted to try the cream. But having trouble in getting my doctor to order it for me. I know one thing, That is when I get over it I am getting the shingles shots. Because Twice is enough for me.']"
[' 19-24 |  '],[' Female |  '],[' Condition: Cold Sore '],[' Overall rating 5.0 '],[],"['Seems I’ve been dealing with cold sores all my life especially after dental work. When I feel one coming up, I take two right away & then one every day for a week. Cold sore never popped up and so happy. Hope this works for every. They can be so painful. ']"
[' 75 or over |  '],[' Male |  '],[' Condition: Genital Herpes '],[' Overall rating 4.3 '],"[""I had recurring GH and took 1,000 mg (1 gram) Valacyclovir (the generic version) 3 times a day which stopped it.  Then I went on 500 mg once a day maintenance but this did not fully control it. Here's what did: I split the 500 mg tab and took 1/2 the tab twice a day.  I got the idea from rereading the patient instructions for the full dose; they say it is important to maintain an even level of the medicine in your blood, so take it evenly spaced during the day, i.e. not all at once. Knock on woo"", ""d, haven't had a recurrence in years.  Another thing I found out by experience: when I was having outbreaks I could get rid of them much faster using the medicine plus just enough sunlight to darken my skin only a little.  Complicated to arrange when they are on genitalia, but worth the effort.  For people with fair skin that can mean only a one or two minutes of sunlight.  That will help plenty.""]",[]
[' 19-24 |  '],[' Female |  '],[' Condition: Genital Herpes '],[' Overall rating 4.7 '],"['I’ve had cold sores ever since I can remember but I started getting them extremely regularly in the last 5 years or so (they would come once every one or two months). My GP prescribed me acyclovir to take twice a day for 2 months. I forgot to renew the prescription but I haven’t had a cold sore in over a year now. I was told I was supposed to keep taking this for the rest of my life but honestly, it seems like it has completely stopped them even though I am no longer taking the medication. Highl', 'y recommend. ']",[]
[' 19-24 |  '],[' Female |  '],[' Condition: Prevent Recurrent Herpes Simplex Infection '],[' Overall rating 5.0 '],[],"['Started getting recurrent episodes of labialis and this is a miracle treatment. Surpasses any creams out there. Pricey regimen for non insured, but I have no regrets!']"
[' 75 or over |  '],[' Male |  '],[' Condition: Genital Herpes '],[' Overall rating 5.0 '],[],['Take every day and have not had any recurring symptoms ']
[' 65-74 |  '],[' Female |  '],[' Condition: Genital Herpes '],[' Overall rating 5.0 '],[],"['Caught this awful disease when I was in high school, engaged, and the guy didn’t know he had it. I take Acyclovir (capsules), Once a day.']"
[' 35-44 |  '],[' Female |  '],[' Condition: Cold Sore '],[' Overall rating 5.0 '],"['I started using this two years ago and I was born with cold sores and suffered always with change of weather or if I was ill or sun burned or chapped lips nothing to do with sexual things. It was embarrassing and annoying to explain although these things can happen to anyone so also no shAme to anyone but I suffered my whole life. I was in holidays few years ago and was given this medication and it stopped my cold sore. Every few weeks I take two or if I feel sick I take one and I haven’t had a ', 'colds sore I’m over 1,5 years you have no idea how cold sore can affect  Someone’s life and the pain it causes. I’m 37 and 1,5 years without a outbreak, if you’re reading this you know how I feel. I hope you all have the same experience. I also have had zero side affects just relief ??']",[]
[' 19-24 |  '],[' Male |  '],[' Condition: Shingles '],[' Overall rating 5.0 '],[],"['Please hoping that Acyclovir is been cheaper cost so that we all people helping each other to fight back against virus and live a happy longer life...  this is Andrew, saying God Bless Us All ??????']"
