age,gender,condition,rating,review_long,review_short
[' 65-74 |  '],[' Female |  '],[' Condition: Pain '],[' Overall rating 2.0 '],[],"['I took 6 of Aleve pills for knee pain but didn’t work. Had to stop it due to upset stomach and uncomfortable abdominal symptoms. This is the first time I took Aleve, and my first time stomachache. It’s been a week after I stop the medicine but upset stomach still occurs. Very frustrated.']"
[' 19-24 |  '],[' Female |  '],[' Condition: Painful Periods '],[' Overall rating 4.3 '],[],"[""Naproxen is the only nsaid that helps to alleviate my cramps as they've continuously gotten worse with age. Unfortunately I'm now having to take more than when I first switched to naproxen. It works 30 minutes after taking it, but doesn't seem to last nearly as long now.""]"
[' 65-74 |  '],[' Female |  '],[' Condition: Migraine Headache '],[' Overall rating 4.3 '],[],['I have chronic migraines Found it most effective to use just when a headache comes on (usually after eating food in the morning.) I noticed if I don’t take it at the onset of a headache it is not as effective during the day. Suggest taking in AM for better results re migraines']
[' 65-74 |  '],[' Male |  '],[' Condition: Joint Damage causing Pain and Loss of Function '],[' Overall rating 4.7 '],[],"['Just when I find something that works fairly well I should stop taking it. Because of the risk that there might be a serious conflict with a different medication I am presently taking. Lisinopril, and a statin medication. Since it could affect my Kidney I will stop taking Aleve, just thought I should let others know about Aleve. I am almost seventy, and have congenital pain in my lower back. Presently taking meds for high blood pressure, and high Cholesterol...FYI ']"
['  '],['   '],[' Condition: Pain '],[' Overall rating 4.0 '],[],['used after surgery instead of RX.  It worked well.']
['  '],['   '],[' Condition: Head Pain '],[' Overall rating 4.0 '],[],[]
[' 19-24 |  '],[' Female |  '],[' Condition: Pain '],[' Overall rating 5.0 '],[],"[""I use this to relieve the pain because my rotated pelvis causes my back to hurt. It's quick to relieve the pain and get me back to normal within a few minutes. The only thing it has done is make me slightly drowsy at times.""]"
[' 19-24 |  '],['  '],[' Condition: Toothache '],[' Overall rating 5.0 '],"[""I'm currently suffering from immense tooth pain, and I'm unable to see a dentist for the next few days. After trying Tylenol and regular acetaminophen along with several other pain relievers, nothing seemed to work at all. After looking up the best pain reliever for tooth pain based on user reviews, I saw that Aleve oral or even a generic naproxen sodium anti-inflammatory works best for most. So I hunted some down at CVS, and about an hour after taking it, the pain subsided and I was able to cat"", 'ch up on some much needed sleep. I highly recommend for people suffering from extreme tooth ache/pain!']",[]
[' 25-34 |  '],[' Male |  '],[' Condition: Migraine Headache '],[' Overall rating 1.7 '],[],['Had migraine. Took two and in about a hour it was gone. But a day later . Got allergic reaction like the lady a few comments down. Swelling of the foot. Redness looking rashes on face and wrist. Please be careful when taking this. They say these reactions are rare. But I beg to differ.']
[' 45-54 |  '],[' Female |  '],[' Condition: Joint Damage causing Pain and Loss of Function '],[' Overall rating 2.3 '],[],['It works to relieve back pain. But I feel anxiety and a weird uneasiness when I am using it. Also I get ringing in my ears.']
[' 65-74 |  '],[' Male |  '],[' Condition: Joint Damage causing Pain and Loss of Function '],[' Overall rating 5.0 '],[],"['I had severe knee pain, Started taken eleve twice a day for one week pain is gone i will continue taken forever.']"
[' 35-44 |  '],[' Male |  '],[' Condition: Pain '],[' Overall rating 4.3 '],"[""I have 3 degenerative discs in my Lumbar spine. the daily pain has gotten so great that it affects nearly every activity of the day. I found Aleve really does help take the edge off and allow more normal functioning. I used to think Aleve didn't work, however i never gave it enough time (for me). For short term (hours) I prefer something else, but for longer term management I like this stuff.  when on a regular daily dose it helps reduce the pain throughout the week.  Ibuprofin is my normal go-t"", ""o med for back pain, which works fast but at 400-800mg doses. but I like the Aleve single once a day dose regiment that I'm using.""]",[]
[' 65-74 |  '],['  '],[' Condition: Pain '],[' Overall rating 3.7 '],[],"['I began taking Aleve for joint pain caused by an anti hormone drug after breast cancer treatment. It works so well on joint pain, but I am stopping this drug because of stomach problems - indigestion no matter what I eat, and stomach pain. I am switching to Tylenol arthritis for the joint pain, and will discuss the problems I have had when I see my oncologist in two weeks.']"
