age,gender,condition,rating,review_long,review_short
[' 35-44 |  '],['  '],[' Condition: Other '],[' Overall rating 2.7 '],[],"[""Benadryl when I was younger gave me no side effects. Now as an adult even the child's dose makes me have nightmares and hallucinations. Very trippy.  I know use riboflavin and acetatametophin w caffeine to help me with my headache coctail.""]"
[' 75 or over |  '],[' Male |  '],[' Condition: Reaction due to an Allergy '],[' Overall rating 2.0 '],[],"['I will not take Benedryl again. Two Harvard studies have conclusively linked Benedryl to Alzheimer’s disease which is unacceptable, especially at 77. ']"
[' 65-74 |  '],[' Female |  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 1.0 '],[],['I have long QT SYNDROME and found that Benadryl was affecting my heart rate adversely.   Stopped Benadryl and heart rate returned to normal.']
[' 19-24 |  '],[' Female |  '],[' Condition: Reaction due to an Allergy '],[' Overall rating 3.7 '],"[""I've been using this medication for the past year in a half I use it off again and on again, and I notice my memory has been very poor. I have a short attention span now its hard to concentrate and I forget things a lot more easily now. I also feel like my grammar has gone down hill and its harder to speak. I am in my early 20s, and I will be switching medication. I know they said it has an effect on the elderlies memory but they need to do a study on the younger people too. I just hope that thi"", ""s isn't long term and once I stop taking this medication for a few months my brain will go back to normal. If not I may see a neurologist because the way I have been feeling has been very concerning and I hope that I'm not getting early onset dementia. Overall the medication works, it stops my sneezing and itching, but it makes me disorientated and clumsy, it also makes my fingers tips go numb. I really wish I didn't take this long term. Just a little advice, don't take this medication longer than a week.""]",[]
[' 45-54 |  '],[' Female |  '],[' Condition: Life Threatening Allergic Reaction '],[' Overall rating 5.0 '],[],"['Benadryl saves My Life Everytime I have a bad reaction. I have to take it Everyday. I am Allergic to Most things, I Even take it for Pain. Benadryl is probably one of the only medications in the pill form that I can take without having an allergic reaction Benadryl is in My Opinion Better than Pain medication.']"
[' 55-64 |  '],[' Male |  '],[' Condition: Stuffy Nose '],[' Overall rating 4.7 '],[],['It helps keep my allergies under control and helps me sleep through the night.']
[' 55-64 |  '],[' Male |  '],[' Condition: Hives '],[' Overall rating 4.7 '],[],"['Had hives related to a bacterial infection in my foot.releived the itching and related hives, plus made me sleep well.  Only issue was waking up tired in the morning.']"
[' 75 or over |  '],['  '],[' Condition: Reaction due to an Allergy '],[' Overall rating 3.0 '],[],"['I often get a runny nose, especially in high pollen seasons. Benadryl is the weakest antihistamine that helps at all (unlike Claritin etc.). I get no side effects. I have used much more effective antihistamines that do make me a bit zonked and work well as a sleep aid.']"
[' 65-74 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 2.7 '],[],"['I just took a benadryl quick dissolve strip to counteract my usual reaction to black fly bites (""black fly fever""). My tongue immediately went numb and I felt like I was going to pass out or stop breathing. I called 911. Still not sure what is going to happen. Last time I am trying this!']"
[' 55-64 |  '],[' Male |  '],[' Condition: Other '],[' Overall rating 5.0 '],"[""I have taken Tylenol PM.  One pill has 25 mg of Benadryl in it.  I buy the WalMart brand in caplet form.  I break one of the caplets into half and take a half caplet.  It helps my mind relax (stop thinking and planning) so I can ease off to sleep.  If I don't set an alarm, I can sleep 7-9 hours before waking up.  One whole caplet will really have me sleeping very deeply.  I usually take one caplet if I need a good night's sleep before something really important that taxes my mind.  When I set th"", ""e alarm, I wake up, get up and move around; after 3-10 minutes I'm fully awake and feel that I can safely operate machinery, make important decisions.  (I once had a bad case of poison ivy and it took 3 caplets for me to fall asleep and not itch during the night. That really did surprise me.)Regularly, I only need half of a caplet.  (Aleve and Advil also have a PM version, too; but I hear that Tylenol PM is the safest to use.)  I am NOT a daily user of Tylenol PM, only when needed. And my doctor knows about this use of Tylenol PM.""]",[]
[' 65-74 |  '],[' Male |  '],[' Condition: Itching '],[' Overall rating 3.7 '],[],['timely effectiveness  ']
[' 65-74 |  '],[' Female |  '],[' Condition: Parkinson Symptoms '],[' Overall rating 2.3 '],[],"[""I used Benadryl to assist with Parkinson's related sleep problems and hand tremor. Neither responded well.  My sleep problems were worsened and there was no effect on the tremor. ""]"
[' 55-64 |  '],[' Female |  '],[' Condition: Life Threatening Allergic Reaction '],[' Overall rating 4.3 '],[],['I take it if I have a allergic reaction to Shellfish etc. I also take it more frequently for my sinuses!']
[' 65-74 |  '],[' Female |  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 4.0 '],[],['Slept more than a few hours at a time']
[' 35-44 |  '],[' Male |  '],[' Condition: Reaction due to an Allergy '],[' Overall rating 5.0 '],[],"['I have been using Benadryl for 2 years now, almost nightly. It calms my allergies during season and helps me get a great night sleep. My sex life has greatly improved as I wake up refreshed and ready to conquer!']"
[' 55-64 |  '],[' Female |  '],[' Condition: Stuffy Nose '],[' Overall rating 5.0 '],[],['My Dr at Aurora Medical Center said to use this and Flonase and it works.  My brother seems to think he is a Doctor instead of a laboror and says this is horrible and addictive medicine.  It seems to work fine for me.']
[' 55-64 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 4.0 '],[],['Benedryl really helps with my knee pain and Swelling. Hard to believe but it really works.']
[' 65-74 |  '],[' Male |  '],[' Condition: Reaction due to an Allergy '],[' Overall rating 5.0 '],[],['I have what I call bubblles in my ears. Feels like it may be fluid. Benadryl is the only medication that takes it away. Ease of falling asleep and staying asleep is an added benefit.']
[' 45-54 |  '],[' Female |  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 5.0 '],[],"['I have AFIB. I want to know if this medication will hurt me in the long run.  Or should I stop this.  I take it to fall asleep. Sometimes I take 1 pill only, but not more that 2 pills at bedtime. ']"
[' 75 or over |  '],[' Male |  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 5.0 '],[],['I take one Benadryl every night to help me sleep. I also take one Tylenol for arthritis pain. These two meds have been a God send for my sleep. Two of my doctors tell me that taking these meds is not a problem.']
[' 55-64 |  '],[' Female |  '],[' Condition: Reaction due to an Allergy '],[' Overall rating 2.3 '],[],"['Unable to function due to sleepiness. There seems to be debate whether or not it is safe for people with high blood pressure. It says tell your doctor if you have this, but it doesn\'t say why. This article does not address. I would appreciate a straightforward statement ""yes"" or ""no"": is it safe to take with high blood pressure? ']"
[' 25-34 |  '],[' Female |  '],[' Condition: Reaction due to an Allergy '],[' Overall rating 4.3 '],[],"[""I get really bad hay fever, to the point I can barely see and breath. This drug is brilliant, especially as it lasts about 6-9 hours for myself. The only problem after about 2-3 hours I feel like I'm going to pass out because I feel that tired! I will still keep taking these tablets but I just make sure I take plenty of water when I feel drowsy... this does help wake me a little. The drowsiness wears off after about 2 hours.""]"
[' 19-24 |  '],[' Female |  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 4.0 '],[],"['I have used Benadryl for trouble sleeping and allergies. Benadryl does not make me sleepy, but it helps prolong my sleep.  Many medications (Nyquil, Tylenol PM) cause me to feel ""groggy\' the next morning, but Benadryl does not.  As for allergies, Benadryl helps me with a runny nose and sneezing.  ']"
[' 55-64 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 3.3 '],"[' one Benadryl was advised for my insomnia 25mg of the ""D"" word and melatonin (10mg time released) They were not taken at the same time. First I took the Benadryl then after about a half hour to an hour it did not put me to sleep then took the 10 mg melatonin.  Finally went to sleep but the next day, I felt absolutely horrible talk about a heavy head worse than Xanax!!!!! Tonight I will only try one Benadryl and may take 50mg and no melatonin to see how this works??? Does anyone have any opinion ', 'about this or haqve experienced the same problem???? I was taking Anbiem 0.5mg and it was real good for me, however, my Neurologist told me he did not recommend this sleeping pill at all so this is why he suggested the above OTC medicines. However,I felt much better with the Ambien the next day when I woke up.']",[]
[' 55-64 |  '],[' Female |  '],[' Condition: Reaction due to an Allergy '],[' Overall rating 4.0 '],[],['The medicine fixed the allergy symptoms but caused severe diarrhea.   ']
[' 75 or over |  '],[' Male |  '],[' Condition: Other '],[' Overall rating 5.0 '],[],['it helps me to sleep at night']
[' 45-54 |  '],[' Male |  '],[' Condition: Life Threatening Allergic Reaction '],[' Overall rating 5.0 '],"['Had a severe allergic reaction to Spirulina, half dose Sat night, woke up w/ soleen face and hives on scalp...went towork, saw an urgebt care do after work, bc my throat and neck were  swollen and lumpy...went I got to the doc, I had hive on base of throat...she advised strongly to go to ER    they checked me in, stat, and hooked me up w/ IV w/ Benadryl and Pepcid(and histamine 2 blocker)...my condition stablized in less than a half hour...that was good, for I had a bit of numbness around my mou', ""th....if I had gone home for dinner instead, I probably wouldnt be here today    10 days later still on antibiotics, Benadryl, and Pepcid, most of the swelling has gone down...some around the eyes and nose, but I'll be patient""]",[]
[' 55-64 |  '],[' Male |  '],[' Condition: Itching '],[' Overall rating 3.7 '],[],['TWO OR THREE TABS; THEN EFFECTS MY MENTAL STATE WITH LISTLESSNESS']
[' 75 or over |  '],[' Female |  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 2.0 '],[],"['Benedryl has helped me sleep, but I don\'t like the side effects--I feel ""loggy""  in the morning--it still does not help me get back to sleep after my frequent trips to the bath-room, and it thickens the mucous in my sinuses.']"
[' 25-34 |  '],[' Female |  '],[' Condition: Sensation of Spinning or Whirling '],[' Overall rating 2.3 '],[],"[""I wish I had read the previous review before I wasted my money. This did not work at all. The dr prescribed 25mg for me. I hope to find an otc that will actually work. I must add that resting and limited activity has helped a lot better than the meds. However, I'm still no at 100% and have been dealing with this for 2 weeks. ""]"
[' 65-74 |  '],[' Female |  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 2.3 '],[],['Dr has told me to take benadryl for sleep as he does not believe in giving prescription drugs for sleep it does not work for me ana not sure what to do']
