age,gender,condition,rating,review_long,review_short
[' 75 or over |  '],[' Male |  '],[' Condition: Other '],[' Overall rating 1.0 '],"[""Anyone with allergies all you have to do is take raw honey . It's why all people down south have no allergies..  honey contains every known plant on the face of earth in it or that grows iñ your area and kids love it and grow ñatural amenities so no allergies .. a cure we all give kids here in the south..try it a few weeks your cured of all allergies.. but not if you are allergic to man made product.... Also milk straight from a cow does wonders too the cream and all mom pasteurized just make su"", ""re you know that it comes from the cow straight to you . Still drink it today from my own cow ... No meds beat nature.. eat a lil dirt I did as a child and I work 16 hrs a day and I'm 91 yeàrs old this past February..""]",[]
[' 19-24 |  '],[' Male |  '],[' Condition: Seasonal Runny Nose '],[' Overall rating 3.7 '],"[""Got this med to treat my running nose by a nurse when i was 14, and it worked for that. After the course is completed (5 days) I stopped taking this and my skin started itching in next 2 days. It was really deadly in next few hours and I felt like I'm dying.  Now I went to a doc. after three days from my last dose and he prescribed me the same. And just with in a few minutes my body gets back to normal, like nothing ever happened and then I continued it forever. Every time I tried to resist this"", "", it results in something really bad. The thing I did in last 10 years is to reduce the dose. Now I'm taking 5mg in every 52 hrs., mostly before sleeping coz it felt so good in the morning with a complete 8 hrs. of sleep with no Mid-sleep awakenings. It felt like I can't use my brain with full efficiency, if I got a chance anyhow I'll leave it for sure.""]",[]
[' 19-24 |  '],[' Female |  '],[' Condition: Persistent Hives of Unknown Cause '],[' Overall rating 1.7 '],[],"['So, it gave me relief from the itching hell that was hives\n\nThat being said, I am nauseous. I am cold. I’m getting motion sick from moving around on a wheely office chair. I can barely focus on work I feel so crappy. ']"
[' Male |  '],[' Patient  '],[' Condition: Seasonal Runny Nose '],[' Overall rating 1.0 '],[],['This is not a good brand for men because it kills your nature... And the docs will not tell you this.']
[' 25-34 |  '],[' Transgender |  '],[' Condition: Hives '],[' Overall rating 5.0 '],"['Not only does Cetirizine 10mg work wonderfully for my environment allergies & occasional itchy hives, it works AMAZINGLY for my anxiety. I have panic disorder and cetirizine makes me feel calm without feeling drugged like Benadryl or hydroxazine. I take it before bed and I sleep amazing. I also will take it on days where I feel a bit extra anxious or panicky and it relaxes me without knocking me out like my alprazolam. I guess not everyone experiences a sedating effect from Cetirizine but I do a', 'nd I am very grateful for this medication. ']",[]
[' 25-34 |  '],['  '],[' Condition: Seasonal Runny Nose '],[' Overall rating 5.0 '],[],['I had sinusitis since I was a kid. Tried this a year ago and absolutely great. I can drink cold water without worrying about my runny nose. But I felt a little drowsy after a time of taking the drugs. Overall recommended.']
[' 55-64 |  '],[' Male |  '],[' Condition: Other '],[' Overall rating 4.3 '],"[""I have c sinusitis- was born with it and received 'shots' for it monthly my first 2 years of life. Have been on oral meds for it for about 50 of my 60+ years of life.  sequence of such extensive usage, many medications are not effective for me.  This med, provided by my VA doctor at 10mg/tablet.  I think this may be = o/c strength. This medicine is very effective when combined with furosemide also from my VA Dr.  I am very satisfied with the results.    I find the 1/day dose simple to take, espe"", 'cially as I have to take a number of other medications during the day, fewer is better for me.  Also, I do not experience any drowsiness from this as I do with other types of antihistamines such as \'Benedryl.""']",[]
[' 65-74 |  '],[' Female |  '],[' Condition: Atopic Dermatitis '],[' Overall rating 2.7 '],[],['Did not work at all. Did not stop itching or redness.']
[' 45-54 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 5.0 '],[],['Very effective in reducing the frequency and severity of hot flashes. ']
[' 65-74 |  '],[' Female |  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 3.0 '],[],['I suddenly got visibly white puffy bags under  both eyes and my eyes became extremely dry as well as my nasal passages.']
