age,gender,condition,rating,review_long,review_short
['  '],['   '],[' Condition: Other '],[' Overall rating 2.0 '],[],['diphenhydramine has been shown to promote dementia']
[' 25-34 |  '],[' Male |  '],[' Condition: Other '],[' Overall rating 5.0 '],[],['i regularly use 100mg to get proper sleep.    I tried 400mg diphenhydramine and 11300mg antihistamine. my heart rate went dowb to 42.. felt extremly drowsy.. unable to do simple tasks or concentrate on anything. after couple of hours I woke up feeling extreme cold and shivering legs. about 20 hours latr. mt heart rate came back to 70. it was constant 42 for whole period. I used monitering device to keep track of it.']
[' 65-74 |  '],[' Male |  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 4.7 '],[],['Takes 45 min. before becoming effective before going to bed']
[' 55-64 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 4.3 '],[],"['Unexpectedly, Benedryl helps greatly to reduce my lower back pain! I have tight glut, piriformis & hamstring muscles on left side. NSAIDS have never helped.  Benedryl seems to calm the involved nerves. Happy to have discovered this! I take just 1/2 caplet at bedtime, and if needed same mid-day, and I keep on moving! ']"
[' 65-74 |  '],['  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 4.0 '],"[""I've never had much trouble falling asleep but after maybe 1 1/2 hours I'd wake and not be able to get back to sleep.  I've been using it for at least ten years and it's been working well for me all this time.  I use a CPAP machine too and my using it drives my sleep doc nuts but she acknowledges that I need to be able to sleep so I just keep using it and with what I think are good results and I haven't seemed to experience any nasty side effects.  Costco has what they market as Allergy Med. and"", "" it's lots cheaper than their sleep aid that is exactly the same formula.""]",[]
[' 65-74 |  '],['  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 3.7 '],[],"[""I recently read about a link between Diphenhydramine and dementia.  The study was conducted by National Center fo Health Research.  Couldn't find anything on webmd. I take Benadryl to help me sleep and it works just fine Since I read the article I am not sure of facts regarding the drug. ""]"
[' 45-54 |  '],['  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 5.0 '],[],"['Before trying this med I had tried every prescription sleeping pill my Dr had to offer...they all gave me the next day ""hangover"" and grogginess  effect and they really did not work that well...So I tried this, as a 50mg liquid dose, works great and does not give me the hangover or grogginess effect...I am concerned about long term use so I will discuss this with my Dr. But for me this works better for me than any sleeping pill I have ever been prescribed.']"
[' 55-64 |  '],['  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 5.0 '],"[""I typically didn't have trouble falling asleep, my problem was staying asleep. I would wake up every few hours and not be able to get back to sleep. I found that talking one 50mg tablet of Diphenhydramine enables me to get the solid night sleep I need and wake up fully rested and alert. If I accidently forget to take one I immediately have interrupted sleep even if I'm unaware that I have missed taking it. I recently heard a news report that you shouldn't take this medication for longer than 2 w"", ""eeks. I've been taking this for over 10 years. I tried this weekend to stop taking it and my sleep is very interrupted. I am planning to resume taking it as I need to sleep but I will be contacting my physician.  ""]",[]
[' 65-74 |  '],[' Male |  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 2.7 '],[],"[""I'm 73 years old and I have started taking 1 of the 25mg caps regularly, like every night, for a couple years now. Lately I've had trouble urinating and pain also.  I've also experienced restless leg at night and blurred vision the next day.  Short term memory is also being affected.  When I was younger I could take up to 3 of the 25mg capsules, when needed, with no problems but now just one gives me unwanted side effects.  Time for this old man to try something different.""]"
[' 75 or over |  '],['  '],[' Condition: Other '],[' Overall rating 1.0 '],[],['still cant sleep']
[' 75 or over |  '],[' Male |  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 5.0 '],[],[]
[' 35-44 |  '],[' Male |  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 3.7 '],[],"[""This seems to help with mild insomnia.  However, sometimes I can take 1.5x the directed dose (3 pills instead of 2) and I still can't fall asleep.""]"
[' 19-24 |  '],[' Male |  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 4.0 '],[],"[""This medicine has helped with my insomnia. However, I recently discovered from a recently released study that anticholinergics like this medicine increases the risk of developing Alzheimer's. I only take it when highly necessary- when my sleep schedule rotates (I have a circadian rhythm sleep disorder). I think it would be unwise to take it every night. This medicine also reduces my anxiety before I sleep.""]"
[' 55-64 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 3.0 '],"[""I often took diphenhydramine in the past for allergies and it worked well but the drowsiness is obviously a consideration. I prefer promethazine for nausea, but diphenhydramine worked well when I took it as a sleep aid, but the last two times I took it, I had Restless Leg Syndrome (RLS), which you CANNOT sleep though. NOTE: I've ONLY experienced RLS twice and in my lifetime and ONLY after taking diphenhydramine at bedtime. When I researched RLS, I learned that diphenhydramine is a common trigger"", "" of Restless Leg Syndrome. I don't take it anymore (duh), at least never late in the day, unless I want to spend the night riding an invisible stationary bike! ""]",[]
[' 45-54 |  '],[' Female |  '],[' Condition: Extrapyramidal Reaction '],[' Overall rating 4.3 '],[],"[""I got akathisia from taking Proochlorperazine for nausea & it was hell on earth. I tried propranolol, which helped but gave me suicidally bad depression. I tried this and it worked pretty well. Not 100% but about 80% and it gradually went almost away to date, probably because it fades away after you strop the drug that causes it. I needed more than the gP prescribed but it's OTC so no problems. It's also great, at higher doses, as a sleep aid. Great stuff!""]"
[' 55-64 |  '],[' Male |  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 5.0 '],[],"['My issues aren\'t ""chronic"" but I do have periods where sleep eludes me.  When those occur I take 1x 50mg gel cap ~9 hours before I have to wake up and it works quite well.   IE my alarm goes off at 6a so if I take this I try to do so by ~9p otherwise I wake up a little groggy.   NOTE: Allow 9-10 hours ']"
[' 45-54 |  '],[' Female |  '],[' Condition: Nausea and Vomiting '],[' Overall rating 3.3 '],"[""I've been taking diphenhydramine at 25 mg per day for rx related nausia for several years.  It has worked quite well with some lethargy being the only side-effect.  HOWEVER, I read recently that long-term use of Benadryl (diphenhydramine) causes cognitive loss.  It does this by blocking the neurotransmitter, acetocoline.  A deficit of acetocoline is a flag for Alzheimer's patients.  The article went on to say that the cognitive loss can be reversed by stopping the use of diphenhydramine.  It see"", 'ms like just about all the OTC drugs recommended for nausia are diphenhydramine except ginger.  I will try ginger and report back.']",[]
[' 55-64 |  '],[' Male |  '],[' Condition: Chronic Trouble Sleeping '],[' Overall rating 5.0 '],"[""I'm 59 and starting to experience prolonged periods of time without sleep. Sometimes, I go three days without sleep, until finally, my body quits fighting it and I can sleep. Upon waking up, I feel miserable, tired, cranky and non-productive.    I don't take medications of any kind unless it's an absolute emergency. However, prolonged periods without sleep were taking their toll on me.    I use the Up and Up brand of diphenhydramine from Target. They come in 50mg gel caps. I take 3; 2 hours prio"", ""r to my desired sleep period. It works great! I sleep through the night without waking up. In addition, if I wake up too early I feel  super tired and it takes me about an hour to shake off the lethargy.    Lastly, tolerance to this sleep aid occurs quickly. I began taking 1 at first. Now I'm at 3 to achieve the same effect. What I do to keep from taking more... I will stop for a week to 10 days, experiencing difficulty in sleeping again. However, doing this for a short time works for me. Like all drugs, as my tolerance increases, so do the amount of pills I take. Once I start again, 1 works for about 2 weeks, then it's a build up to 3 again and time for me to detox from it.    My life is so much better being able to sleep again. I have noticed no side effects other than mild lethargy in the morning. I hope this info helps whomever reads it.""]",[]
