age,gender,condition,rating,review_long,review_short
[' 45-54 |  '],[' Male |  '],[' Condition: Recurrent Cold Sore '],[' Overall rating 4.7 '],[],"[""As I read all these reviews, I hate to know how we are all cursed with this condition. Thank God for modern medicine. I've experienced outbrakes on my lips as long as I remember (6-7yrs old). The key to this rx is to take it as soon as you feel a tingle.  I've failed to take it right away (while traveling for work) and experienced a massive outbreak. Nearly had to fly home ahead of time. I consider this a curse due to the fact that if not treated immediately,  you're in for hell for 1-2weeks. \n""]"
[' 45-54 |  '],[' Female |  '],[' Condition: Cold Sore '],[' Overall rating 4.0 '],[],"[""I often don't realize I have a cold sore until after 1 or 2 small bumps appear on my lip.I take the 3 blister sealed pills and then 3 more pills 12 hrs later.  After 2-3 hours of first dose I feel dizzy a bit and have rapid heart rate. I am ok with this side effect if it halts the cold sore from developing.  I find it dries it up within 3-4 days usually.      ""]"
[' 75 or over |  '],['  '],[' Condition: Shingles '],[' Overall rating 5.0 '],[],['Was given this drug within 3 days of outbreak. PA was puzzled because it occured on the toes of one foot. I had shingles 50 years ago and never forgot the sypmtoms. medication stopped the outbreak within two days. Few side effects.']
[' 45-54 |  '],[' Female |  '],[' Condition: Shingles '],[' Overall rating 4.7 '],[],"['Have had cold sores and shingles for 10 years. Now I know that if I have a cold sore, within a week, my back nerves will flare up and cause great pain. I take this at the first sign,   mouth tingling,and it prevents the pain in my back, and cures the mouth sore.     ']"
[' 65-74 |  '],[' Male |  '],[' Condition: Genital Herpes '],[' Overall rating 5.0 '],[],['I had frequent outbreaks of HSV2 since 1971..A dermatologist prescribed this medication in 2011..For five years now I have had NO outbteaks...']
[' 65-74 |  '],[' Male |  '],[' Condition: Shingles '],[' Overall rating 2.3 '],[],['Severe acid reflux had to stop will call dr to cont with another to finish']
[' 45-54 |  '],['  '],[' Condition: Cold Sore '],[' Overall rating 5.0 '],"['I suffer from cold sores when I have ongoing stressors. If the stress is consistent I begin getting what I consider ""cluster"" cold sores, meaning several outbreaks monthly for a couple of months in a row.  Recently while visiting my dermatologist for a unrelated problem, I had a cold sore healing on my nose and he shared this medication.  The dose is 1500 mg as one single dose.  I do not have side effects, I take the single dose as soon as I feel tingling or burning and have not had a cold sore ', 'form since!  Everyone responds differently to medication but for me it is effective. ']",[]
[' 35-44 |  '],['  '],[' Condition: Shingles in Patients Without a Normal Immune System '],[' Overall rating 4.0 '],"[""So far, I've taken 9 pills. (3 x 500mg per day). I'm an otherwise, healthy 40 yr old woman. So far, with having 9 pills over the last 3.5 days, only side effect I've had is I kind of get a headache around the time I am to pop the next pill, but it is a very, very mild headache. I am not experiencing any urinary or stomach issues at this point right now, however, I do still have 12 more pills to take this week over the course of 4 days. It does seemed to have stopped my rash from spreading any fu"", 'rther and pain is subsiding. I seem to have to just have a mild case of shingles on the left side of my back just under my shoulder blade area... a few sprinkled over to underneath my left armpit and a few on my left breast. Sprinkles here ']",[]
[' 55-64 |  '],['  '],[' Condition: Shingles '],[' Overall rating 4.0 '],[],"['helped with symptoms of shingles but sideaffects are awful. Nausia, dirrhea, indigestion, tiredness. they are almost unbearable.']"
[' 65-74 |  '],[' Male |  '],[' Condition: Shingles '],[' Overall rating 5.0 '],[],"[""I was a tad worried about taking this drug after reading the reviews.  My Shingles was diagnosed about 3 days after the  bumps started appearing on the left side of my skull.  The infection was somewhat painful, but not terrible.  Within two days of taking the drug and pain subsided and within 6 days it was pretty much cured.  A month later there is no pain for me.  Sounds like I'm fortunate.  We did get the shot, so perhaps my infection was less severe.  ""]"
[' 55-64 |  '],[' Female |  '],[' Condition: Shingles '],[' Overall rating 4.0 '],[],"[""This medicine helps with the itching, stinging and pain, and it did stop the blister from apowaring, as I started the medicine early. I didn't like the Sleepyness, and fatigue. It also caused some stomach issues and pain urinating....I am  not sure if I would take this again or not""]"
[' 55-64 |  '],[' Female |  '],[' Condition: Recurrent Genital Herpes '],[' Overall rating 3.3 '],[],['I found that I did not get a headache if I took this medicine with food.']
[' 55-64 |  '],[' Female |  '],[' Condition: Suppression of Recurrent Herpes Simplex Infection in HIV '],[' Overall rating 2.0 '],[],['STILL HAVENT WORKED YET  ']
[' 65-74 |  '],[' Female |  '],[' Condition: Shingles in Patients Without a Normal Immune System '],[' Overall rating 3.7 '],"['I am a 67 yr old woman with the second bout with shingles.  I had the vaccine between outbreaks all of this within one year.  The med halted the shingles, it was taken within 48 hours of first symptoms.  I never got to blistering and the pain and itching was greatly controlled with8888888 ice treatment.  Side effects were fatigue, cramping and some diarrhea.  I did have itchy skin which progressed to a rash and more intense itching on various areas of my body. Have three more days of med therapy', ' and am debating discontinuing the shingles med.  Will visit my doc tomorrow and hope she will supply me with some steroids to clear up my rash and extreme itching.  Shingles are fine med did the trick.']",[]
[' 19-24 |  '],[' Male |  '],[' Condition: Cold Sore '],[' Overall rating 5.0 '],"[""Have been suffering from cold sores since I was in primary school and only recently discovered famciclovir. Took three tablets (1500mg) when a i felt the burning feeling and a small bump had started to form already! That was on a tuesday, by the friday all that was left was a tiny scab, practically fully healed. Can't recommend this drug enough absolutely knocked the cold sore on the head. Now keep a pack of the tablets with me at all times. Only negative is that it does give me a mild headache "", 'but well worth it considering the 3-4 day healing time as opposed to the usual 10 or so it usually takes for me. ']",[]
[' 45-54 |  '],[' Female |  '],[' Condition: Genital Herpes '],[' Overall rating 4.0 '],[],"['After having labia majora removed, my Specialist also recommended daily Famvir and have been on for 13 years now.']"
[' 55-64 |  '],[' Female |  '],[' Condition: Shingles '],[' Overall rating 3.0 '],[],"[""I started taking this medication within 6 hours of the onset of the rash.  This was two days after I was in severe pain.  After taking this medication for three days, the rash is starting to dry up.  It never did blister.  So I like the effectiveness of it.  But my stomach is in bad shape.  It hurts with each step I take.  It's fine when I stand still or sit.  I quit taking it.  If my stomach is not better in two days, I'm calling my doctor.  In my case, I'm not sure I would take it again.""]"
[' 55-64 |  '],[' Female |  '],[' Condition: Shingles '],[' Overall rating 2.0 '],[],"['After the eighth dose of the drug I experienced severe cramping which led to diarrhea. That led to expelling blood. Gastric bleeding? It was taken with food, on a  scheduled basis. I will never take this again.']"
[' 45-54 |  '],[' Female |  '],[' Condition: Prevent Shingles in Patients Without a Normal Immune System '],[' Overall rating 2.3 '],[],"['The minute I took it my heart started racing.  Unfortunately I took the second dose and it got worse.  Heart rate at least a 110, weakness and difficult to breathe. I was given this because of shingles.']"
[' 55-64 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 2.7 '],[],"['Fourth day and called doctor.  Seemed to start working; however, symptoms seem to be coming back.  I had this mouth/tongue infection for about 1 month.  Dr. states it may take longer than the 3 days to cure and will remain in system.  I am told to give it a chance.']"
[' 45-54 |  '],[' Female |  '],[' Condition: Shingles '],[' Overall rating 3.7 '],[],"[""I started this early in the outbreak as a precaution. My doctor told me if we wait until it gets worse then we can't use it, or use it with much effectiveness. This medication was very effective in stopping the itching and pain I had from Shingles in the first three days.(It also had started to clear them up)In the afternoon and evening of day three though, I started to become incoherent and incredibly fatigued. My doctor took me off of it for this reason ""]"
[' 65-74 |  '],[' Male |  '],[' Condition: Recurrent Genital Herpes '],[' Overall rating 5.0 '],[],['This worked much faster than acyclovir and did not upset my stomach as much. also was a much shorter prescription time. (3 days) I am a 71 yr. old male and have had this awful virus since since 1972.']
[' 55-64 |  '],[' Male |  '],[' Condition: Recurrent Cold Sore '],[' Overall rating 5.0 '],[],['no more outbreaks of cold sores.  This drug has been totally effective']
[' 19-24 |  '],[' Male |  '],[' Condition: Cold Sore '],[' Overall rating 4.7 '],[],"['As mentioned, I take a high dose (1500mg) anytime I feel a cold sore coming on. When it is a cold sore, early Famcyclovir stops the cold sore from even fully developing. Most times it ends up just being a pimple, but I still take the 1500mg just in case. At most I have taken a 1500mg dose about 3-4 times in one month and have not noticed any side effects whatsoever.']"
[' 75 or over |  '],[' Male |  '],[' Condition: Shingles in Patients Without a Normal Immune System '],[' Overall rating 2.7 '],[],['rEDUCED dILANTIN IN A VERY SHORT PERIOD OF TIME']
[' 45-54 |  '],[' Female |  '],[' Condition: Recurrent Infection caused by Herpes Simplex Virus '],[' Overall rating 1.0 '],[],"['Horrible drug. Immediatly gave me the worst depression . Was taking it 3x a day 500 mg each, and towards the last few hours of each dose, it gave me extreme anxiety and adrenalin rushes. Will not take this drug again. did not help me one bit. :o(']"
[' 45-54 |  '],[' Female |  '],[' Condition: Shingles '],[' Overall rating 4.3 '],"[""Second time of having shingles.  First time, didn't know what I had, so shingles had progressed pretty far.  This time.  I knew that itching, sharp needle feeling, and down right pain.  So I decided to go see my doctor asap.  I definitely believe early treatment is the answer.  I did notice frequent urination, and my bp seemed to elevate.  However, it certainly helped with the spread, blisters, and keeping them from totally coming out.  It did make me sleepy though.  Also used benadryl as a topi"", 'cal ointment.  Oxycodone helped with pain, but could only tolerate at night, due to basically knocking me out.   ']",[]
[' 25-34 |  '],[' Male |  '],[' Condition: Shingles '],[' Overall rating 4.7 '],[],"['I had shingles on my neck, head, and ear. Took this and it stopped me from getting any new ones.   One side effect. Maybe it was shingles, BUT this medicine made me really tired at 500 mg three times a day. Though at night, wide awake. ']"
[' 35-44 |  '],[' Female |  '],[' Condition: Shingles '],[' Overall rating 4.7 '],[],['This is the second time I have had the shingles. Have been taking meds for 4 days now. Blisters are clearing up. Only side effect I had was headache.']
[' 65-74 |  '],[' Male |  '],[' Condition: Genital Herpes '],[' Overall rating 5.0 '],[],['I have had this genital herpes since the 70s. Occational outbreak every 4-5 years until I turned 65. I take 250mg doses I soon I notice the tingling associated with an outbreak. Very effective. Also take when I am sick or during high stress periods. ']
[' 45-54 |  '],[' Male |  '],[' Condition: Shingles '],[' Overall rating 5.0 '],[],['I am a 48 year old male and I started taking Famciclovir(500 mg. 2x daily) for 7 days after I had an outbreak of shingles on my back and it stated to spread to my face but the medicine stopped the new out break.    ']
[' 55-64 |  '],[' Female |  '],[' Condition: Genital Herpes '],[' Overall rating 5.0 '],[],[]
