age,gender,condition,rating,review_long,review_short
[' 25-34 |  '],[' Female |  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 1.0 '],[],"['Worst experience ever. It helped with hay fever, but comes with unpleasant horrible side effects: coughing, extreme sinus pain, extreme dry throat, sore mouth, rashes, ear pressure issue, feverish feeling, headache, and depression!! I’ve been on it for a week. I can’t sleep now, because of it. Thanks for the other reviews to validate my side effects. Otherwise, I thought I was dying. ']"
[' 25-34 |  '],[' Female |  '],[' Condition: Persistent Hives of Unknown Cause '],[' Overall rating 2.3 '],[],"[""I think this drug damaged my ear drums. I took it for about 2 to 3 days and ever since I struggle with high pitch sounds and even noise in general. I am really irritated with noise and the day I had taken it, I couldn't stand any noise at all. Really bad experience. Its been 2 yrs since I took it and oh my goodness.""]"
[' 25-34 |  '],[' Female |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 1.3 '],[],"[""I took telfast for my hayfever and with in the hour I was extremely itchy and Hot! I broke out in hives and my face was swelling after taking it! I've taking this medication 2 times now and both times I've broke out extremely bad in hives! my body looked like a bright red tomato!  ""]"
[' 45-54 |  '],[' Female |  '],[' Condition: Hives '],[' Overall rating 4.3 '],[],"['prescribed Allegra and Zantac in combination for hives, used generic and works great']"
[' 65-74 |  '],['  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 3.7 '],[],[]
[' 45-54 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 1.7 '],[],"['I suffer from Vestibular Migraines. My allergist thought maybe some sinus/.allergy issues contribute to this. Within 20 minutes of taking this I became extremely drousy (I took at night with dinner). A few hours later that subsided, however when I went to bed it was as if I had consumed a Starbucks espresso! I hadnt slept for 3 days! I also had an INCREASED headache! I will try Zyrtec next. ']"
[' 75 or over |  '],[' Female |  '],[' Condition: Hives '],[' Overall rating 1.0 '],[],['made me feel sick and very nauseous']
[' 35-44 |  '],[' Female |  '],[' Condition: Hives '],[' Overall rating 3.3 '],[],['Medication works but foul smell when using bathroom or passing gas.']
[' 55-64 |  '],['  '],[' Condition: Seasonal Runny Nose '],[' Overall rating 2.7 '],[],['I have been having tongue sores and mouth sores for about 1 year.  Very painful.  I am going to stop allegra and see if the sores get better. I am doing this with all of my medications to see which one is causing such ulceration on my tonge and in my mouth.']
[' 45-54 |  '],[' Female |  '],[' Condition: Hives '],[' Overall rating 5.0 '],[],"[""I have pressure hives.  I am not bothered by them as long as I take this medication daily.  When I don't take it I am immediately bothered by itching and welts.""]"
[' 35-44 |  '],[' Female |  '],[' Condition: Hives '],[' Overall rating 2.3 '],[],['Worked at the very begining now dosnt seem to touch it ']
[' 25-34 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 2.3 '],"['slowly became red and irritated over a period of 3 weeks. got allergy tested due to swelling in hands and after being allergy tested reactions became more severe after starting allergy pill again. hands turned purple and very swollen as wella s chest. hospital believed it was an allergic reaction to the allegra. very nervous to find out how to determine it. daily intake is allegra and multivitamin and supplimental iron pill and supplimental vitamin d also. curious if anyone else has had this rea', 'ction to allegra  ']",[]
[' 55-64 |  '],[' Female |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 3.0 '],[],"['While the med worked great for allergy, it cause very severe depression - crying jags, suicidal thoughts, etc. It was scarey!']"
[' 65-74 |  '],[' Male |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 5.0 '],[],[]
[' 45-54 |  '],[' Male |  '],[' Condition: Other '],[' Overall rating 4.0 '],[],"['No common allergy symptoms. Taking to control menieres.Will reduce but not eliminate episodes of vertigo,pressure in ears.Be consistent in dose.Does seem to give intermittent headache/neckpain.']"
[' 35-44 |  '],[' Male |  '],[' Condition: Other '],[' Overall rating 5.0 '],[],['i am using the drug for allergy since last three years regularly would like to knoe is there any problem in taking so long medication']
[' 45-54 |  '],[' Female |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 4.0 '],[],['it is most effective at the first sign of allergy symptoms']
[' 7-12 |  '],[' Female |  '],[' Condition: Seasonal Runny Nose '],[' Overall rating 4.3 '],[],[]
