age,gender,condition,rating,review_long,review_short
[' 35-44 |  '],[' Male |  '],[' Condition: Pain '],[' Overall rating 5.0 '],[],"['I had chills,pain in my lower body.after I took this medication made me feel so good. Works great.']"
[' 35-44 |  '],[' Female |  '],[' Condition: Pain '],[' Overall rating 2.0 '],[],['Broken finger it healed broken now having lots of pain. This medication doesn’t work at all']
[' 55-64 |  '],['  '],[' Condition: Pain '],[' Overall rating 4.0 '],"['I took this medication to relieve the pain from various joint injuries sustained 15 to 40 years ago.  I found it works very well.  I did have a serious side effect.  This is in no way related to the drug itself but the necessity to follow the dosage directions.  I started have flu like symptoms on top of the normal cold weather aches and pains I have every year.  I got a bit loose with the dosage and developed some kidney problems that required medical attention.  I do think that when taken as d', 'irected, this is a very effective medication for minor pain.  I have been told to only take acetaminophen now which is absolutely useless for my pain issues. ']",[]
[' 25-34 |  '],['  '],[' Condition: Head Pain '],[' Overall rating 5.0 '],[],['I have suffered with headaches all my life and this medication is the only thing that has given me a better quality of life. I have severe anxiety and am afraid of most pills as i am very sensitive to them. The only side effects is gas and sometimes constipation if i am using frequently.']
[' 25-34 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 5.0 '],[],"['Completely clears my skin from acne. Figured it out by accident when I had to take it for my wisdom tooth removal. Only thing that will clear it, but I found Boswellia to use instead as a natural alternative with less side effects.']"
[' 65-74 |  '],[' Male |  '],[' Condition: Pain '],[' Overall rating 5.0 '],[],"['I used 800 mg for lower back pain resulting from long car trips.  I drove straight through 12 hrs the other day without back pain.  No side effects.  Works great for me, and had it recommended by two others with chronic back pain.  I do not take the drug on a regular basis, only for long car trips.']"
[' 55-64 |  '],['  '],[' Condition: Pain '],[' Overall rating 3.0 '],[],"[""I use it for tooth pain.  Had two teeth pulled and it helps relieve pain.  My Mom's Doctor told her not to take ibuprofen since she had a bleeding ulcer and he blamed it on this drug.  he suggested Tylenol arthritis strength.  I am having side effects right now; dizziness, stomach ache, and hard to focus.  I stopped taking it and will call my doctor if the side effects persists.   ""]"
[' 55-64 |  '],['  '],[' Condition: Pain '],[' Overall rating 2.0 '],[],"['My neck is fused (C2-6) and I have degenerative disc disease and arthritis in it.  When taking ibuprofen 800 mg I become extremely agitated, suffer sleeplessness, and anxious.  Will not use again at any dosage.']"
[' 35-44 |  '],[' Female |  '],[' Condition: Painful Periods '],[' Overall rating 5.0 '],[],"['I have found this is the only thing that relieves menstrual cramps for me. Also take it for back pain. :)  I have noticed that mayyyyyybe, it may be making me extremely sleepy hours later.']"
[' 45-54 |  '],['  '],[' Condition: Pain '],[' Overall rating 3.0 '],[],"['I have taken ibuprofen for decades for chronic joint pain due to congenital joint defomities and severe DJD. I take it in conjunction with narcotic pain meds and it clearly gives additional pain relief, as it helps decrease inflamation. I do not advise crushing and snorting though, as it burns the nose and throat and is of no recreational value.']"
