age,gender,condition,rating,review_long,review_short
[' 55-64 |  '],[' Nonbinary |  '],[' Condition: Other '],[' Overall rating 1.0 '],[],['It killed my father-a dialysis patient with a heart complication. I consulted to a dermatologist cause he has a pruritus in skin and the dermatologist called it Xerosis Cutis.  After he used the LevoCetirizine 5mg #14 he started to feel weak nor eating until we went to the Hospital and...']
[' 55-64 |  '],[' Female |  '],[' Condition: Hives '],[' Overall rating 3.3 '],[],['No side Affect I was okay ']
[' 45-54 |  '],[' Female |  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 5.0 '],[],"[""I switched to XYZAL a few years ago and it's been the best thing I've ever done.  I use to get sinus infections at least twice a year.  This medicine keeps allergies away...  LOVE LOVE LOVE""]"
[' 25-34 |  '],[' Male |  '],[' Condition: Other '],[' Overall rating 4.3 '],[],"[""I've been using this to treat severe itching due to Hand, Foot, & Mouth disease. It took two days to fully kick in, but it has greatly reduced the severity of my itching. It has also been very helpful for my postnasal drip. \n\nI do find this medication to be somewhat sedating, but it is manageable with a little extra coffee in the morning. At the very least, it isn't nearly as sedating as Zyrtec or Benadryl, so I'm content. ""]"
[' 65-74 |  '],[' Female |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 5.0 '],[],[]
[' 65-74 |  '],[' Female |  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 5.0 '],[],[]
[' 65-74 |  '],[' Female |  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 2.0 '],[],['This Anna histamine knock me out like Benadryl does so it’s worthless to take I still have watery eyes.   I’ll go back to Claritin']
[' 55-64 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 3.3 '],[],['prescribed for persistent cough secondary to allergy.   Still coughing.   Did not clear up nasal congestion.  Experiencing joint pain requiring me to sit for relief']
[' 45-54 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 2.7 '],[],"['1st day of taking this medicine. I took it 6 hours ago and my sore throat is much better, but both eyes are still very swollen, red and puffy, still have itchy face and itchy throat.']"
[' 25-34 |  '],[' Male |  '],[' Condition: Seasonal Runny Nose '],[' Overall rating 5.0 '],[],['Suffered seasonal runny nose and planned to shift hometown even. Then this medicine rescued me.']
[' 25-34 |  '],[' Female |  '],[' Condition: Atopic Dermatitis '],[' Overall rating 3.3 '],[],[]
[' 65-74 |  '],[' Female |  '],[' Condition: Hives '],[' Overall rating 5.0 '],[],['It works but My prescription has increased in price from from $6.24 to $145 with new insurance. Can anyone help with advice?']
[' 55-64 |  '],['  '],[' Condition: Hives '],[' Overall rating 5.0 '],[],"['I had hives for 4 1/2 weeks after a reaction to a medication during my colonoscopy.  I thought I would go crazy from the extreme itching! I tried many OTC antihistamines and prednisone with no improvement. Finally I went online and read something about Xyzal and thought ""what\'s one more?"".  Worked like a charm! Finally, relief the very next day!']"
[' 75 or over |  '],[' Female |  '],[' Condition: Persistent Hives of Unknown Cause '],[' Overall rating 4.7 '],[],"['I noticed,that I was chronically tired,joint pains were not relieved by the medications prescribed for the pain,all the above stopped,after i quit taking it.I think I will just take it prn.']"
[' 45-54 |  '],[' Male |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 2.3 '],[],"['Medication knocked me out the first night I took it. After that, it did not affect my sleep nor my allergies! Still had extremely stuffy nose and itchy eyes after 2 weeks of use. ']"
[' 35-44 |  '],[' Female |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 3.7 '],[],['Worked great for my stuffy nose but .... I was up ALL NIGHT everytime I took it. Def did not make me sleepy .... was quite the opposite!!! ']
[' 25-34 |  '],[' Female |  '],[' Condition: Seasonal Runny Nose '],[' Overall rating 5.0 '],[],['Makes me sleep so hard']
[' 19-24 |  '],[' Male |  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 4.0 '],[],[]
[' 35-44 |  '],[' Male |  '],[' Condition: Non-Seasonal Allergic Runny Nose '],[' Overall rating 2.0 '],[],['Completely useless. Still sneezing and runny nose after I took this. Had zero effect on me. Waste of money and time I could have spent on a drug that works. ']
[' 65-74 |  '],[' Male |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 2.3 '],[],['Causes difficulty urinating ']
[' 55-64 |  '],[' Male |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 2.3 '],[],['Has not touched my stuffy nose symptoms.']
