age,gender,condition,rating,review_long,review_short
[' 35-44 |  '],[' Female |  '],[' Condition: Stuffy Nose '],[' Overall rating 3.3 '],[],"[""Immediately I took it, I became restless and have the strong urge to throw up. It's difficult to control myself\n""]"
[' 45-54 |  '],[' Male |  '],[' Condition: Stuffy Nose '],[' Overall rating 5.0 '],[],[]
[' 65-74 |  '],['  '],[' Condition: Stuffy Nose '],[' Overall rating 3.7 '],"['I had constant runny nose during day at work and it was very annoying. I have BPH (enlarged prostate) for several years and knew I could not take an antihistamine with the warning on it: ""Do not take if you have an enlarged prostate"" (because within few days it can stop a man\'s urine flow!) I saw Claritin, a leading worldwide OTC drug and figured it must be special because it did not have this warning. I took it for over a year in 2016 and it worked great allowing me to do my job working 8-10 ho', 'urs a day in medical  eqipment  business. Then in 02/2017 I immediately stopped taking it because urine flow stopped the first night of a week cruise. I had to have an internal catheter inserted connected to an external leg bag by cruise medical staff. After I got home it took my urologist 9 months to get my prostate back to normal and catheter removed. (it was removed several times during this time period but had to be reinserted within few hours since still not normal). I have been fine ever since after that 9th month when removed. Note: I was on prostate med (Tamsulosin) for years before I took Claritin and never had problem. When I started Claritin I continued to take it (tamsulosin) with no problem so the only thing we can assume is that the Claritin over the course of a year caused this since nothing else was introduced into my body. Anyway, after several months of going back ']",[]
[' 55-64 |  '],['  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 5.0 '],[],['I take one every morning and it works great for me I have forgot to take it in the morning And I would have a bad day I have tried a lot of different allergy medicines but this one seems to be the best for me thanks']
[' 65-74 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 5.0 '],[],['Tried it for my tinititus as I wondered whether the humming in my ears may be caused by fluid build up in ear due to pollen- my tinititus disappeared within 1 hour- amazing!!!!!']
[' 65-74 |  '],[' Female |  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 2.0 '],[],"[""Doesn't work and it is pointless since it does not address other allergy symptoms.  Another medication where the risks out weigh..... Not sure why they even make these medications, it has to be money.  ""]"
[' 7-12 |  '],[' Male |  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 2.7 '],[],"['Made my son extremely sick for several years. We had no idea it was caused by the loratadine until a couple months ago. My son had continual tummy aches, anxiety, vomiting, motion sickness/vertigo. Works somewhat for his allergies, but not worth the many years he suffered and the heartache it caused me watching him suffer.']"
[' 19-24 |  '],[' Female |  '],[' Condition: Sneezing '],[' Overall rating 2.3 '],[],[]
['  '],['   '],[' Condition: Other '],[' Overall rating 5.0 '],[],[]
[' 25-34 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 2.0 '],[],"[""I was told to take this medicine instead of Benadryl because I also take other medications. This medication caused EXTREME itchiness and welts as well as a burning sensation all over my body. I took it for 2 days and couldn't handle it anymore. I did not take it last night and today I am fine. I will never take this medicine again!""]"
