age,gender,condition,rating,review_long,review_short
[' 55-64 |  '],[' Male |  '],[' Condition: Muscle Pain '],[' Overall rating 3.0 '],"['I was prescribed Naproxen 350mg for my knee pain few years back, I took the pills twice a day with no issues for a couple weeks, seemed to help with the pain and stopped taking them. I got a new prescription, just so I can have on hand, as the other pills were a few years old. Around July 2022 . I took for muscle pain (1 pill) and got terrible chills / fever and was under a heat blanket for hours until my core got balanced again. I thought I have the flu . So Yesterday sept 2022, I had a kink in', ' my neck and saw the Dr , said to take the naproxen 350mg to relief the pain. Again I got terrible chills / fever. Looking at the side effect, nothing is mentioned about chills/fever. ']",[]
[' 25-34 |  '],[' Nonbinary |  '],[' Condition: Muscle Pain '],[' Overall rating 3.3 '],"['I have a partial tear in a tendon in my knee as well as an undiagnosed back problem (went to ER for extreme pain w/ associated leg numbness, was told no spinal narrowing or breaks but nothing beyond that, was sent home with muscle relaxers). This combination makes a lot of things difficult and causes fairly frequent muscle pain as some groups try to overcompensate for others. Ibuprofen worked best but hurt my stomach too much. Naproxen works okay but causes pretty bad tinnitus. Aleve brand somet', ""imes makes me drowsy. I took off brand naproxen the other day (possibly Great Value?) and the ringing in my ears was immense, I became incredibly drowsy, and it also seemed to hype up bad feelings? I was scared to traverse the dark hallway back to my room to go to sleep and have had fairly depressive thoughts and feelings for a couple of days after the dose. No clue if this was a one off thing but I suppose I'll find out at some point. It did, at least, completely get rid of the hip pain I was experiencing when I took it and the pain reduction helped relax the muscle so the pain has largely stayed gone.""]",[]
[' 13-18 |  '],[' Female |  '],[' Condition: Head Pain '],[' Overall rating 3.3 '],[],"['i was prescribed naproxen for a headache and fever that i had for a week prior. good news is, my fever isnt spiking anymore but i have constant horrible tinnitus from the medication that gives me a headache on top of my other headache. it dulls the pain for about four hours when it’s supposed to last for twelve. i get heartburn so bad when i eat along with stomachaches that keep me from eating. im only 18! i shouldnt be experiencing this stuff yet!']"
[' 45-54 |  '],['  '],[' Condition: Mild Pain associated with Arthritis '],[' Overall rating 5.0 '],[],"['I can take this pill when my body hurts and get as bad when I canâ??t stand the pain no more. It is amazing I feel like am in my 20â??s again. I do not take it everyday bc this medicine lasts for weeks. Then the pain comes back. I know itâ??s not good for your kidneys, ect. That is why I donâ??t over take this medication. I stand by this Naproxe. It works for me!!!']"
[' 35-44 |  '],[' Female |  '],[' Condition: Rheumatic Disease causing Pain & Stiffness in Backbone '],[' Overall rating 4.3 '],[],['Iam 40 and I have 3 worn discs and 1 bulging so in constant pain I can’t move and constantly in pain I’ve been taking it for a week and Iam putting on weight very quickly is anyone having the same result but helps loads with the pain ']
[' 65-74 |  '],['  '],[' Condition: Other '],[' Overall rating 3.0 '],"[""I was diagnosed with gout.  My PCP prescribed hydrocodone because the pain was so severe if a sheet touched my foot during bedtime, I'd scream in pain.  Went back to refill and saw a PA because my PCP was on vacation for the holidays.  I told him Naproxen can take up to two weeks to work and that I needed pain meds.  He would not give me more hydrocodone but prescibed this sh**. Said it would work right away despite my telling him I've been on it before and it can take weeks to kick in. Yes, the"", "" inflammation is decreasing, but I'm still in pain and now I've got the runs from this medication.  I see my PCP on the 8th and going to tell her that her PA needs to go back to school.""]",[]
[' 25-34 |  '],[' Female |  '],[' Condition: Muscle Pain '],[' Overall rating 3.0 '],[],"[""Been researching on the web about naproxen 500mg. Was very hesitant to take it. I have pulled a Charlie horse and my knee is all knotted up and I can't move. Little mobility. Dr prescribed me naproxen 500mg but I am so sensitive to medication, so I cut it in half so it's easier to take. ""]"
[' 65-74 |  '],['  '],[' Condition: Inflammation of the Tendon '],[' Overall rating 5.0 '],[],['8 months with neck pain-tendonitis. Nothing was working. Took Naproxen 220mg/twice daily. Pain completely under control...gone away!']
[' 13-18 |  '],[' Female |  '],[' Condition: Muscle Pain '],[' Overall rating 3.7 '],[],"['Gave me bad stomach pain and slight nausea but works well on relieving my shoulder pain, even in sports.']"
[' 55-64 |  '],['  '],[' Condition: Muscle Pain '],[' Overall rating 1.0 '],[],['Hypersensitive allergergic reaction. Anaphylactic shock. Nearly fatal.']
