age,gender,condition,rating,review_long,review_short
[' 55-64 |  '],[' Male |  '],[' Condition: Fever '],[' Overall rating 5.0 '],[],[]
[' 65-74 |  '],[' Male |  '],[' Condition: Pain '],[' Overall rating 1.7 '],[],['I have never felt pain relief using Tylenol.']
[' 75 or over |  '],[' Male |  '],[' Condition: Pain '],[' Overall rating 4.3 '],[],[]
[' 65-74 |  '],[' Female |  '],[' Condition: Pain associated with Arthritis '],[' Overall rating 2.7 '],[],"['This Tylenol for Arthritis was being used with Ferromax at the same time, but had to be discontinued due to severe diarrhea. No one ( and I asked 3 doctors, and 5 pharmacists if they had heard of this) I had to decide whether to be in pain or keep my blood count up.     ']"
[' 75 or over |  '],[' Male |  '],[' Condition: Backache '],[' Overall rating 4.0 '],[],[]
[' 65-74 |  '],[' Female |  '],[' Condition: Pain associated with Arthritis '],[' Overall rating 5.0 '],[],"['I have,Rheumatoid Arthritis plus systemic lupus and am rarely without pain  I have found taking 2 Tylenol 3 times a day helps to keep me mobile without the pain getting severe']"
[' Female |  '],[' Patient '],[' Condition: Toothache '],[' Overall rating 4.0 '],[],['My occasional use of Tylenol has brought prompt relief for toothache and also gall bladder pain.']
[' 65-74 |  '],[' Male |  '],[' Condition: Pain associated with Arthritis '],[' Overall rating 5.0 '],[],[]
[' 55-64 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 2.0 '],[],"[""This is the most worthless drug.  Why do you continue to make it. It is about effective as drinking water. If I hadn't been forced to take it for two due to a surgical procedure I would never have taken it. It is worthless is it a placebo?""]"
[' 55-64 |  '],[' Female |  '],[' Condition: Migraine Headache '],[' Overall rating 5.0 '],[],['For some reason every time it gets cloudy i start hurting and I reach for my tylenol. They helps my joints tremendesly.']
[' 45-54 |  '],[' Male |  '],[' Condition: Backache '],[' Overall rating 3.0 '],[],[]
[' 65-74 |  '],[' Female |  '],[' Condition: Backache '],[' Overall rating 2.3 '],[],['Abnormal kidney function blood tests ']
[' 65-74 |  '],[' Male |  '],[' Condition: Muscle Pain '],[' Overall rating 4.0 '],[],['Body aches while sleeping']
[' 65-74 |  '],[' Female |  '],[' Condition: Backache '],[' Overall rating 5.0 '],[],"['I have used this medicene since it was first put on market for use, and been very happy with the results.  ']"
