age,gender,condition,rating,review_long,review_short
[' 45-54 |  '],[' Female |  '],[' Condition: Prevent Recurrent Herpes Simplex Infection '],[' Overall rating 2.7 '],[],['Give me terrible headaches. I feel so much pressure on the sides of my head and in the back of my skull. Also makes me dizzy and feeling off. I don’t know how much longer I will be taking this the side effects really are awful']
[' 55-64 |  '],[' Female |  '],[' Condition: Shingles '],[' Overall rating 1.0 '],[],['I developed a shingles rash. Went to the doctor and received this medication. After one day my left eye swelled shut. Doctor recommended that I double the dose. After 2 times taking the double dosage I ended up in the ER. I could not form thoughts or speak and could barely walk. I found out after my horrible allergic experience with this medication that my symptoms were a rare side effect. This side effect isn’t even listed on the side effect descriptions of this medication. ']
[' 65-74 |  '],[' Female |  '],[' Condition: Recurrent Genital Herpes '],[' Overall rating 5.0 '],[],"['I find that if my stress level increases over something (like life itself, lol) it brings on a breakout. So I have taken it at the onset of a break out and I have taken it every day as a preventive.  It works.  I opt to buy the brand and not the generic.  It still takes times for the blisters to heal, but it is quicker to heal, than without the medication.  ']"
[' 55-64 |  '],[' Female |  '],[' Condition: Shingles '],[' Overall rating 3.7 '],"['I had left head tinglingling and left headache for 5 days before noticine 2 bumps at lefthairline. Day six my left forehead was 10 bumps. Diagnosed that evening with shingles. Started Valcyclovir at 10p that night. Saw opthomologist day 10, as left eye almost shut with swelling. Luckily, no ocular involvement. Started prednisone for inflammation day 10. Most of the side effects from antivirals are same as symptoms of shingles, headache, dizziness, tiredness, nausea. I am day 12 and the ""rash"" ha', 's has gone from individual bumps to large ""patch"". Unfortunately, my whole left scalp is covered. I no longer have the burning or bee sting sensation, but i look like a leper. Bangs cober forehead, wore sunglasses IN THE STORE, to grab essential groceries. Also caladryl has helped to dry up the facial blisters. I jyst think i started treatment too late, as i didnt know the precurser symptoms of tingling and headache. I am 58yo.']",[]
[' 45-54 |  '],[' Female |  '],[' Condition: Shingles '],[' Overall rating 2.0 '],[],"['I was prescribed the generic of Valtrex by my doctor for shingles, on day five in the middle the night I had really bad hallucinations I had altered mental status my husband and my daughter took me to the hospital I had renal failure, I was in the hospital for six days I just got home today. This is a medication for herpes, is shingles a form of herpes?']"
[' 35-44 |  '],[' Male |  '],[' Condition: Shingles '],[' Overall rating 2.3 '],[],"['The side effects from these are pretty awful, They are hard on the tummy and the head. The side effects are so bad in fact that 5 days into Iv had to stop and spend the day in bed trying to let it clear from my body. ']"
[' 55-64 |  '],[' Female |  '],[' Condition: Suppression of Recurrent Herpes Simplex Infection in HIV '],[' Overall rating 5.0 '],[],['I just took the two pills dose and my cold sore is completely gone.  I think the trick is take the pills as soon as you feel/see the bubbles start.  I love love love this medication.']
[' 55-64 |  '],[' Female |  '],[' Condition: Shingles '],[' Overall rating 5.0 '],[],['I get recurrent Ramsay Hunt (shingles in facial nerve which connects to brainstem). I have taken this for years and it makes me able to walk and close my eye and stops the infection if taken aggressively and with high dose steroids. Wouldn’t be without it. ']
[' 45-54 |  '],[' Female |  '],[' Condition: Shingles '],[' Overall rating 4.0 '],"[""I took this within 24 hrs of my very small rash. The rash did get bigger but did not puss or cause any itching. I did however, get the worst migraines that I've ever had in my life. I also was very nauseous, dizzy and extremely exhausted. I'm not sure if those symptoms were the shingles or reaction to the medication. I also had a flu-like symptoms and low grade fever. I do think that these stopped my rash from becoming worse but if these were the side effects not sure if I would take them again."", "" I'll definitely be getting the vaccine once I'm over this and able.\n""]",[]
[' 45-54 |  '],[' Female |  '],[' Condition: Shingles '],[' Overall rating 2.3 '],"['I’m on Day 3 on Valcolyin 800 5x’s a day. The first day symptoms -none. 2nd day I had an extreme headache, it hurt in my neck & felt like my head was going to explode. 3rd day- headache was mild & I started having pain only on the right side of my hip down to my leg. That went away after 4 hours. Now my right knee is hurting BAD. I threw away the meds. It does work for Shingles. I never blistered & now it just looks more like a bright red blob of cells. The pain & itching went away. I want to st', 'op taking it but I don’t want the symptoms to come back. The side affects are HORRIBLE. Don’t recommend taking this drug. Now I’m scared I will have kidney failure. ']",[]
