age,gender,condition,rating,review_long,review_short
[' Male |  '],[' Patient  '],[' Condition: Persistent Hives of Unknown Cause '],[' Overall rating 5.0 '],[],"[""I have been having trouble with itching feeling like it was under my skin, and occasional respiratory comprise.  My allergist started me on xyzal 10mg at night, and my issues have cleared up, with the bonus of my sinuses drying up.  I'm very happy with this medication. ""]"
[' 65-74 |  '],[' Male |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 2.3 '],[],['Did not help my allergies and made my nose stuffed at night making it harder to sleep.\nDid not make me drowsy. Pretty much worthless.']
[' 55-64 |  '],[' Female |  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 1.0 '],"[""This is the absolute WORST medicine I've ever taken. My husband and I started it and feel like we can't put one foot in front of another. Sleep was horrible as it provoked dreaming all night. Woke up, allergies were still bad, nose stuffy and had to take a nose spray. I don't want to add meds to my regimine. I feel like I am walking sideways and want to sleep off something that feels like a bad hangover. NO I was not sick when I started this (3 days in) but feel worse than I did before I switche"", ""d from Allegra (which I loved but doctor suggested switching up so that body would not become immune to the effects of the OTC medication). Wouldn't recommend this to my worst enemy. ""]",[]
[' 25-34 |  '],[' Female |  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 1.0 '],"['I took this a few times- but only used half and it was fine. However, yesterday I was having a really bad experience with my allergies and took a whole pill- and I will never do that again. Firstly, my allergies symptoms were not reduced- and during the day I started to feel disoriented and dizzy. Then during the night, I had chills, a headache, and a sore throat. The next day I woke up and felt a bit better, but had an intense hangover feeling (having not drank any alcohol). I had to spend the ', ""day in bed- and on top of that, I experienced some stress that day and my anxiety went through the roof in a way I have never experienced as I was experiencing some heart palpitations, clamminess, and other really uncomfortable symptoms. Of course, I have considered that it may not have been the Xyzal and that maybe I am ill, but the symptoms appeared and stopped so suddenly that it can't be anything else. I am so happy it has worked for others, and hopefully, it will work for you- though I wanted to share my experience in case someone has a similar experience of side effects as me. ""]",[]
[' 55-64 |  '],[' Female |  '],[' Condition: Seasonal Runny Nose '],[' Overall rating 3.3 '],"[""I'm writing this review to perhaps help connect some dots for some folks. I took Xyzal for 110 days (first 2-pack), then took a break over winter when I didn't need it as much, then restarted in March 2022. In the month and a half after restarting, I was getting continually more fatigued and achy, little by little, with almost a drugged/hungover feeling most every morning. Sometimes I would wake up, make a cup of coffee, sit on the sofa and practically fall back asleep; other times, I'd get up a"", 'nd have to go lay back down. It would take me until late afternoon to feel somewhat functional. I chalked this up to other issues (hormonal, life changes, work stress) but then stumbled upon something that discussed such side effects with allergy medicines. After doing extensive research, I\'ve found these effects are not as uncommon, or random, as they first appeared.\n\nAfter stopping the Xyzal about two weeks ago, I\'m no longer having the exhaustion, body/joint pain and drugged/hungover feeling every morning. It has been a marked, and remarkable, difference. Granted, I still have allergies...but I\'ll gladly take those over feeling like I was 137 years old.\n\nThe medicine worked well the first go-round with my allergies, but I\'ve learned that some brands have far more pronounced side effects after stopping and restarting. Again, I\'m writing this for those who might be concerned something is terribly wrong with them; since I have other long-term (but manageable) health issues, I was getting a little afraid that something else was happening or, that if this was just ""aging,"" I wasn\'t going to make it much longer! I\'m feeling so much better now that this medicine is out of my system. It sounds like it works for a lot of people, but some might find they\'re experiencing the same ""frog in the pot""-type symptoms--the ones that very slowly get worse and worse until you\'re wondering what the heck is happening to you.']",[]
[' 35-44 |  '],[' Female |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 1.0 '],[],"['This medicine made me think I was dying.  I started taking it after taking Zyrtec for years. After a month I started to have vertigo, pressure and pain in my ears, blurred vision, tinnitus. Got so dizzy I could barely stand.  Went to ent and eye dr. Everything was fine. Looked up the side effects and it fit perfectly.   Stopped taking it and finally a week later all my symptoms went away. Thought I had a brain tumor the symptoms were so bad.  ']"
[' 55-64 |  '],[' Female |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 2.3 '],[],"['I really wanted Xyzal to work for my allergies, however the side effects were just debilitating. It did dry up my sinuses, but also caused excruciating headache pain and some muscle aches. I could not get out of bed the next day the 3 times I used it the night before. ']"
[' 19-24 |  '],[' Female |  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 1.0 '],[],"[""I took Claritin for a long time until it stopped working and then I went to just medicine which didn't do anything at all""]"
[' 35-44 |  '],[' Female |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 5.0 '],[],"['I thought I would try the generic brand of Zyzal, took 1 in the morning and 1 in the evening. It feels like I didn’t take anything. My husband went and got me the name brand Zyzal and about 5 minutes later I can breath through both nostrils. I feel so much relief I will never go to a cheaper brand. ']"
[' 65-74 |  '],[' Female |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 3.3 '],[],"[""Helped with the allergy symptoms but had trouble sleeping with horrible nightmares when I could sleep. Very tired during day. Also affected kidneys with dark urine and frequent urination. I won't take any more of this due to the side effects I feel are dangerous. ""]"
[' 55-64 |  '],['  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 4.0 '],[],"['I find this to be a mild antihistamine. I take it at night, sleep most of the night, but it doesn’t relieve severe allergy congestion for me. It doesn’t make me tired in the morning, but I did notice feeling depressed after a straight week of taking it and had some very terrible nightmares. Given it’s light effect, it’s not worth the side effects. Sudafed pe for me, but it’s only a 4-hour med.']"
