age,gender,condition,rating,review_long,review_short
[' 65-74 |  '],[' Male |  '],[' Condition: Non-Seasonal Allergic Runny Nose '],[' Overall rating 5.0 '],[],['Zyrtec D made me fail a drug test ']
[' 45-54 |  '],[' Female |  '],[' Condition: Cold Symptoms '],[' Overall rating 3.0 '],[],"[""Took it at bedtime, it kept me awake all night. Stomach pain and heart raced. It did help my stuffy nose and itchy throat though. I think I'd rather just use a cough drop and drink water. ""]"
[' 35-44 |  '],[' Female |  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 3.0 '],"[""I moved to Phoenix and developed severe allergies. This medication has been the only one to work to health me breathe and relieve the pressure in my head. However, within an hour of taking it, I feel like I just took speed and it lasts for hours. Racing heartbeat and I can't sit still. I have an anxiety disorder so it then triggers multiple anxiety/panic attacks. If I miss this medication, within day 3, I can't think straight. My brain goes into a fog and I can't put simple things together in my"", ' head. I am moving out of this state and never using this medication again.']",[]
[' 35-44 |  '],[' Female |  '],[' Condition: Sneezing '],[' Overall rating 3.7 '],"['I have seasonal allergies (symptoms: sneezing, itchy throat and eyes, runny nose and stuffiness). I decided to try Zyrtec, OTC, 10mg/1 a day, this year to alleviate my allergy symptoms and it was working fantastic; however, I had SVT after 5 days of use. Very scary. I am 42, female, and I am not taking any prescription meds, no history of high blood pressure, never smoked, non-drinker, and healthy. I stopped taking Zyrtec immediately. I relate this incident to taking Zyrtec. I was seen by my phy', 'sician, now awaiting blood work results. ']",[]
[' 35-44 |  '],[' Female |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 3.7 '],[],['I have been using zyrtec d for over 7 years almost daily due to chronic sinus congestion due to multiple allergies year round. Just recently started having tea colored urine(blood in urine) not sure why. Nothing else helps with my allergies. i have diabetes as well as fibromyalgia and hypertension. I have been taking the same drugs for 7 years not sure what is going on.']
[' 25-34 |  '],[' Female |  '],[' Condition: Other '],[' Overall rating 3.7 '],[],"['  zyrtec D definitely helps me with all the allergy symptoms, but the side effects that I have I despair, I feel nervous, anxious, wanting to mourn, shaky, tired, sleepy, I take the pill when my allergies are really bad. The medication that the doctor gave me did not help, it will be nice if they could make a medicine that will help me just as Zirtec D, without the side effects. Thank You                                                            ']"
[' 45-54 |  '],[' Female |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 1.0 '],"[""I took one of these, & the next day, was so riddled with side effects that I could barely function. I was shaking, dizzy, heart racing, chest tightness, shivering, dry mouth like the Sahara desert, etc. Awful! I felt like I was dying! Under the blankets, shivering with chills, and shaking so much I couldn't even type.  It gave me a wicked migraine that won't quit. It's been four days, and I'm still not myself, haven't even been able to eat much. I will also say that it gave me a cough like I've "", 'never experienced - so bad, I pulled a muscle, and a bloody nose. I threw the rest in the trash. Now I read on one of the other reviews that it shows as meth on a drug test? I have a drug test Thursday, and this is freaking me out. I would say that this is not a good drug for anyone. I know I may be more sensitive, but this cannot be a good and healthy medication to take. Be so careful with this. Wow, I have never experienced anything like this, very scary. Buyer beware!  ']",[]
[' 35-44 |  '],[' Female |  '],[' Condition: Non-Seasonal Allergic Runny Nose '],[' Overall rating 4.3 '],"['I took Zyrtec-D for twelve years after developing an allergy to my cat.  It was the most effective allergy medicine I tried (Claritin and Allegra didn\'t even come close).  It effectively kept me from itchy eyes, runny nose, post-nasal drip and helped me live a great life with my adorable pet.   The time-release of Zyrtec got me through the day and generic versions did not do this.  I was ALWAYS thirsty and felt ""dried out"" while taking the medication and would have days where I felt ""edgy"" after', "" taking it, but it was always worth it to me. I just recently quit Zyrtec cold turkey in preparation for an allergy test and the start of immunotherapy (as I now live near an allergist and have insurance that will cover it). The withdrawal symptoms have been extremely uncomfortable and alarming.  Within a day of stopping the medication, my entire body began itching and skin crawling.  It was particularly bad in my scalp, chest and back.  I had a night of cold sweats and shaking along with bruising forming on my body.  The worst was the second and third day.  I am now on the fifth day and the itching has lessened quite a bit, but is still present.  Although the withdrawal symptoms are terrible, I know it won't last forever and I am appreciating my new life . . .I am finally able to satisfy my thirst after twelve years.  I no longer have that edgy feeling and my mood swings are no longer there!  Even though this drug got me through many days and improved my overall quality of life then, for my own mental health I wish I had stopped using it sooner!""]",[]
[' 65-74 |  '],[' Male |  '],[' Condition: Seasonal Runny Nose '],[' Overall rating 4.7 '],[],"[""For many years I have suffered itchy eyes & runny nose as Fall sets in.  I now take 1/2 tablet on days when I have these issues.  Like other users I did notice dry throat, etc when taking the whole tablet.  WHY don't they make it in 1/2 the current strength?""]"
[' 35-44 |  '],[' Male |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 2.7 '],[],['it doesnt work']
[' 55-64 |  '],[' Female |  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 5.0 '],[],['reduces effect of allergies']
[' 65-74 |  '],['  '],[' Condition: Other '],[' Overall rating 3.0 '],[],"['For years had violent morning coughing spells from combination of lung condition and allergies.  Finally tried zyrtec-d and it helped.  took one every night.   Developed repeated constipation episodes. Gut doctor did colonoscopy with ok results, and mentioned an ingredient in zyrtec-d can dehydrate your digestive system.  Stopped taking it and got regular after a few days ']"
