age,gender,condition,rating,review_long,review_short
[' 35-44 |  '],[' Male |  '],[' Condition: Other '],[' Overall rating 3.0 '],"[""For some years now, I've been dealing with itchy skin. I have no idea the cause, but it usually happens at night before bedtime. I don't have a rash, just itchy skin that is almost intolerable! I do have dry skin I use lotion for, however even if my skin isn't dry I still have skin itching. I started using Zyrtec, well the generic of it anyway, which is the same product. It works like a miracle for me in relieving my pesky itchy skin, but I have awful side effects where I get restless and anxiou"", ""s and have cognitive effects. I switched to Benadryl generic recently and while it doesn't work quite as long(not more than about 12 to 24 hours at most), it's slightly better for the anxiety side effect, but the anxiety is still there. Perhaps antihistamines give me that side effect? But I just can't handle the Zyrtec due to this! It's very effective for my itchy skin and works for well over 24 hours, but I had to quit. I should mention I have a long history of severe anxiety disorder, and take medication for it, so maybe I can't deal with Zyrtec as good? Be aware of this if you take antihistamines. It may effect you differently but for me, my mental health/cognition eroded while taking it.""]",[]
[' 35-44 |  '],[' Male |  '],[' Condition: Allergic Conjunctivitis '],[' Overall rating 2.0 '],[],"[""It caused me Fixed Drug Eruption. Many areas of my body got pigments and I didn't understand first time because no such side affect mentioned anywhere.""]"
[' 65-74 |  '],[' Male |  '],[' Condition: Non-Seasonal Allergic Runny Nose '],[' Overall rating 5.0 '],[],"[""I get early spring and late summer congestion, no runny nose yet post nasal drip that feels like I am drowning in my chest. Zyrtec worked so good. I have no drowsiness. I don't take it continuous usually just a couple of days maybe a week at the most until next bout. No side effects what-so-ever.""]"
[' 35-44 |  '],[' Female |  '],[' Condition: Seasonal Runny Nose '],[' Overall rating 2.7 '],[],"[""I took 1 of these at about 5 pm. My nose was cleared by about 8. BBUUUTTTT!!! I woke up the next day with regular heart palpitations (Flipping and pounding) they lasted the entire day! I had some dizziness and depressed mood as well. Won't take again.""]"
[' 45-54 |  '],[' Male |  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 4.7 '],"[""I take this for seasonal allergies such as sneezing runny nose. I only take it as needed. Luckily for me my allergies are only bad around this time of the year. I try not to take it everyday if I don't need it. I noticed with the 10 mg dose that after 24 hours the effect seems to be wearing off. But I try to space my dose out to 48 hours so I take it every other day. I've read a lot of the reviews with people having various side effects but for me I've never had any problems with itching or havi"", ""ng it caused me to have some sort of mental depression or any mental anxiety or any issue like this. The main side effect I noticed from this medication is that it makes me sleepy. For example when I take the dose I'll sleep for at least 8 hours the next day. And then maybe even nap some more the next day. Generally I don't sleep a lot or very well so I don't mind this side effect. I've been using this medicine for more than 10 years. I would tell people that they should be careful with it because it can interact with alcohol and if you take a dose it's still in your body for up to 48 hours from a single dose. I've tried other allergy medications but generally they do not work as well as this one and some of the other medications make me feel sort of well how can I say wired. And they keep me up so I prefer Zyrtec. Another thing I noticed about this medicine is that when I take the tablets it seems to bother my stomach a little bit. I don't have any pain or anything but I noticed some what loose stools. but I've switched to what we call a syrup version that's available in my country and I've noticed that this problem seems a lot less with the syrup that I was with the pills. So anyone who notices the loose stool I would recommend to try to syrup version if it's available for you. I know it's not available everywhere but I really feel like they should make it available. My opinion the syrup is better than the tablet but both work very well for allergy problems especially seasonal allergies. ""]",[]
[' 7-12 |  '],[' Female |  '],[' Condition: Non-Seasonal Allergic Runny Nose '],[' Overall rating 3.0 '],[],"['My child had been taking this daily for 2 years. It had helped with his allergies BUT it also caused side effects such as anxiety, depression and intrusive thoughts. He was a mental mess thanks to this drug. ']"
['  '],[' Patient  '],[' Condition: Hives '],[' Overall rating 1.3 '],[],"[""Used this otc because of a tick bite. I was prescribed  OTC by my doctor.  I was on it for 35 days.  I am trying to wean myself off of it.  When I don't take it I break out in hives.  I now have itchy burning skin headache and it feels like something is crawling on me.  This is terrible. I went from 10 mgs to 5 mgs.  I am going cold turkey.  My itching is awful.  I googled the side effects of this OTC and see that a lot of people are having some of the same symptoms.""]"
[' 35-44 |  '],['  '],[' Condition: Inflammation of the Nose due to an Allergy '],[' Overall rating 3.7 '],"['I began taking Zyrtec in the spring. It was very effective with relieving my allergy symptoms. I began spotting and bleeding irregularly around the same time. I did not attribute this to the Zyrtec at the time. I stopped Zyrtec over the summer and the spotting and irregular bleeding stopped. I began taking Zyrtec again in the fall when my allergies returned. As soon as I began taking the Zyrtec, I began spotting and bleeding irregularly again. I stopped taking Zyrtec and the spotting stopped. I ', 'havenâ??t had this issue since stopping Zyrtec.']",[]
[' 25-34 |  '],[' Female |  '],[' Condition: Seasonal Runny Nose '],[' Overall rating 1.0 '],[],['I have taken Zyrtec off and on. Never consistently until recently trying to remember to take it daily..especially with COVID-19 as I wanted to keep any allergies at bay.... but today I woke up with yellowish eyes. Apparently Zyrtec can cause severe liver problems and jaundice. Yeah.. no thank you. Now to figure out to heal my body from the damage Zyrtec has done. ']
[' 35-44 |  '],['  '],[' Condition: Seasonal Runny Nose '],[' Overall rating 3.0 '],"['Beware - once you start taking Zyrtec regularly, you are likely to experience addiction and be unable to stop it without significant withdrawal side effects.  I have noticed that 24-48 hrs after taking Zyrtec, like clockwork, I experience extreme and uncontrollable itching and hives all over my body.  (I never suffered from hives in my life until taking this drug.)  This, of course, seems like an allergic reaction and makes you take more Zyrtec. I am extremely upset that the potential for signif', 'icant withdrawal symptoms is not listed as a known drug effect. Johnson ']",[]
[' 45-54 |  '],['  '],[' Condition: Seasonal Runny Nose '],[' Overall rating 3.0 '],[],"[""I was happy that this product worked on my allergies but it came with a cost. My joints, legs, neck felt like I was 50 yrs older than I am. I walked like an old lady. After reading reviews I stopped taking it. Now I am uncontrollably itching everywhere. My hands, feet, scalp. It's horrible.  I also gained 25 pounds on it. I won't be using it again. Nightmare. Gave me nightmares too.""]"
